Title,Note,URL,Tags,Comment
,,,,
Hazel's,,https://www.google.com/maps/place/Hazel's/data=!4m2!3m1!1s0x8824c7c46c9e9dc3:0xfb74bee4e7240ab9,,
State & Liberty Clothing - Birmingham,,https://www.google.com/maps/place/State+%26+Liberty+Clothing+-+Birmingham/data=!4m2!3m1!1s0x8824c70d916f0f23:0x3dccfc9f335dbef9,,
Studio Optix,,https://www.google.com/maps/place/Studio+Optix/data=!4m2!3m1!1s0x89c258ff27d0a0e1:0xfdc9715f5c6e76ff,,
205 W 15th St,,https://www.google.com/maps/place/205+W+15th+St/data=!4m2!3m1!1s0x89c259bdd1c92163:0x4ef1bc8aef0c42b3,,
The Nicole,,https://www.google.com/maps/place/The+Nicole/data=!4m2!3m1!1s0x89c25859c6e0f76b:0x4f51220c2c722fc4,,
